userId,actionName,frequency,timeSpent,consistency
1,Create Stage,1,0,0
1,Delete Stage,1,3,0
1,Rename Stage,0,0,0
1,Search with Note,1,0,0
1,Search with Tag,2,0,0
1,Search with both Tag and Note,0,0,0
1,Create Note,5,42,0
1,Delete Note,19,88,0
1,Open Note,11,90,0
1,Edit Note,3,55,0
1,Move Note,2,0,0
1,Drag and Drop note,0,0,0
1,Open commenting in note,2,42,0
1,Attach File,0,0,0
1,Comment in Note,1,3,0
1,Invite and Add follower,2,0,0
1,Invite User,0,0,0
1,Remove follower from note,1,0,0
1,Create new tag,3,0,0
1,Add tag,6,0,0
1,Change Tag Colour,3,0,0
1,Change Note Colour,10,0,0
2,Create Stage,0,0,0
2,Delete Stage,1,24,0
2,Rename Stage,0,0,0
2,Search with Note,3,24,0
2,Search with Tag,3,27,0
2,Search with both Tag and Note,0,0,0
2,Create Note,9,113,0
2,Delete Note,14,63,0
2,Open Note,12,194,0
2,Edit Note,4,160,0
2,Move Note,6,93,0
2,Drag and Drop note,0,0,0
2,Open commenting in note,2,37,0
2,Attach File,0,0,0
2,Comment in Note,1,14,0
2,Invite and Add follower,1,19,0
2,Invite User,0,0,0
2,Remove follower from note,1,8,0
2,Create new tag,3,49,0
2,Add tag,5,62,0
2,Change Tag Colour,2,7,0
2,Change Note Colour,6,105,0
3,Create Stage,0,0,0
3,Delete Stage,0,0,0
3,Rename Stage,0,0,0
3,Search with Note,0,0,0
3,Search with Tag,0,0,0
3,Search with both Tag and Note,0,0,0
3,Create Note,0,0,0
3,Delete Note,1,0,0
3,Open Note,12,171,0
3,Edit Note,5,51,0
3,Move Note,5,43,0
3,Drag and Drop note,0,0,0
3,Open commenting in note,1,21,0
3,Attach File,0,0,0
3,Comment in Note,2,9,0
3,Invite and Add follower,2,23,0
3,Invite User,0,0,0
3,Remove follower from note,0,0,0
3,Create new tag,3,34,0
3,Add tag,0,0,0
3,Change Tag Colour,2,95,0
3,Change Note Colour,2,6,0
4,Create Stage,2,20,0
4,Delete Stage,2,33,0
4,Rename Stage,2,34,0
4,Search with Note,12,85,0
4,Search with Tag,9,98,0
4,Search with both Tag and Note,4,40,0
4,Create Note,3,17,0
4,Delete Note,0,0,0
4,Open Note,27,242,0
4,Edit Note,5,39,0
4,Move Note,10,85,0
4,Drag and Drop note,0,0,0
4,Open commenting in note,3,26,0
4,Attach File,0,0,0
4,Comment in Note,1,22,0
4,Invite and Add follower,2,21,0
4,Invite User,0,0,0
4,Remove follower from note,1,25,0
4,Create new tag,1,2,0
4,Add tag,10,78,0
4,Change Tag Colour,1,3,0
4,Change Note Colour,5,28,0
5,Create Stage,0,0,0
5,Delete Stage,0,0,0
5,Rename Stage,0,0,0
5,Search with Note,0,0,0
5,Search with Tag,0,0,0
5,Search with both Tag and Note,0,0,0
5,Create Note,0,0,0
5,Delete Note,1,0,0
5,Open Note,0,0,0
5,Edit Note,0,0,0
5,Move Note,0,0,0
5,Drag and Drop note,0,0,0
5,Open commenting in note,0,0,0
5,Attach File,0,0,0
5,Comment in Note,0,0,0
5,Invite and Add follower,0,0,0
5,Invite User,0,0,0
5,Remove follower from note,0,0,0
5,Create new tag,0,0,0
5,Add tag,0,0,0
5,Change Tag Colour,0,0,0
5,Change Note Colour,0,0,0
6,Create Stage,1,7,0
6,Delete Stage,0,0,0
6,Rename Stage,0,0,0
6,Search with Note,1,12,0
6,Search with Tag,7,57,0
6,Search with both Tag and Note,1,14,0
6,Create Note,9,362,0
6,Delete Note,1,9,0
6,Open Note,26,197,0
6,Edit Note,4,46,0
6,Move Note,14,280,0
6,Drag and Drop note,0,0,0
6,Open commenting in note,14,130,0
6,Attach File,0,0,0
6,Comment in Note,6,57,0
6,Invite and Add follower,3,48,0
6,Invite User,0,0,0
6,Remove follower from note,0,0,0
6,Create new tag,2,26,0
6,Add tag,7,80,0
6,Change Tag Colour,2,4,0
6,Change Note Colour,8,48,0
7,Create Stage,2,25,0
7,Delete Stage,0,0,0
7,Rename Stage,0,0,0
7,Search with Note,2,15,0
7,Search with Tag,6,54,0
7,Search with both Tag and Note,2,4,0
7,Create Note,21,993,0
7,Delete Note,8,37,0
7,Open Note,39,309,0
7,Edit Note,5,81,0
7,Move Note,30,287,0
7,Drag and Drop note,0,0,0
7,Open commenting in note,12,127,0
7,Attach File,0,0,0
7,Comment in Note,9,69,0
7,Invite and Add follower,8,65,0
7,Invite User,0,0,0
7,Remove follower from note,0,0,0
7,Create new tag,3,14,0
7,Add tag,11,2647,0
7,Change Tag Colour,5,55,0
7,Change Note Colour,16,83,0
